PH,Temp,Turbidity,TSS,BOD5,COD,DO,Amoni,Phosphat,Coliforms,WQI
7.1,28,75,120,7.2,9.5,6.1,0.85,0.89,8100,51.65
7,28,80,115,8.6,12.3,5.35,2.17,1.2,9500,43.17
6.4,28,90,160,15.7,20.4,2,4.32,1.74,16000,11.95
6.8,27.5,85,120,8.2,15.6,5,2.12,2.3,10000,39.41
6.7,27.5,110,140,20.1,30.1,3.2,3.31,3.25,14000,3.13
6.4,27.5,130,130,27.6,36.7,1.32,7.05,4.27,140000,2.46
6.7,27.5,65,140,6,9.2,6.6,0.37,0.82,1000,57.25
6.8,27.5,70,145,7.1,10.3,6.5,0.59,1.53,5200,66.86
7.1,26.8,75,185,7.8,11.2,6.2,1.27,2.55,10000,38
7.2,28,80,137,6.5,8.7,5.8,1.85,1.34,8500,48.93
6.4,28,82,121,7.7,9.8,4.03,1.81,1.59,10000,40.49
6.1,28,87,145,11.2,20.1,2.1,2.45,3.53,32000,12.34
7.1,27.5,90,165,12.3,20.7,5.02,3.21,2.54,11500,12.95
6,27.5,111,155,19.5,24.7,3.3,3.52,3.27,15000,3.2
5.8,28,123,120,24.8,34.2,0.35,4.71,4,170000,2.56
7.2,27.5,70,120,5.7,10.2,7.2,0.31,0.45,500,57.24
6.9,27.5,75,100,6.1,9.21,6.9,0.3,0.67,3500,74.37
7.1,27.5,73,190,5.4,7.6,6.7,0.45,0.78,4700,62.11
7,27.5,85,250,5,7.89,6.3,0.52,0.92,5000,63.99
6.8,27.5,86,190,5.75,8.56,6,0.54,1.1,7000,39.65
7.2,27.5,87,140,8.1,12.3,5.9,1.12,2.23,9000,46.02
7.3,27.5,90,195,7.2,12.57,6.1,0.42,0.86,7500,54.48
6.7,27.5,100,110,9.23,15.2,4.2,0.87,1.2,9500,11.42
6.4,27.5,130,140,10.2,19.8,2,2.98,2.01,20000,3.37
7.2,27.5,65,150,4.9,7.6,7.4,0.32,0.34,300,59.58
7.6,28,65,100,5.8,9.56,7.6,0.21,0.59,3500,75.08
7.1,28,70,95,5.6,8.2,7.2,0.45,0.64,5000,69.99
7,27.5,85,200,5.75,7.52,6.8,0.47,0.78,4300,66.36
7.4,28,87,180,6.3,9.25,6.2,0.23,0.85,6500,59.94
6.9,27.5,88,130,7.98,10.1,5.9,0.75,2.11,8700,48.69
7.2,27.5,90,210,6.12,10.2,6.3,0.56,1.11,6300,59.07
6.9,28,95,100,8.1,10.34,4.3,1.23,1.13,7000,56.97
6.4,28,120,130,8.65,12.45,2.5,2.27,1.95,17500,3.57
7.1,27.5,80,135,5.9,10.1,6.45,0.35,0.91,550,52.88
6.8,27.4,81,145,7.8,11,6.3,0.97,1.54,5100,65.07
6.9,27.3,85,140,6.1,9.7,5.9,2.14,1.86,7500,52.48
7.2,27,89,125,7.2,10.5,6,0.87,0.84,8100,51.17
7.3,27,90,120,8.5,12.5,5.45,2.18,1.23,9000,40.85
6.5,27,90,170,13.5,19.8,2.15,4.33,1.75,17000,12.13
6.5,27,100,125,14.2,17,5.5,2.34,2.34,10500,3.57
6.6,27,110,145,20.3,27.9,3.1,3.34,3.26,13500,3.14
6.3,27,113,140,25.6,34.5,1.4,6.78,4.34,144000,2.51
7.04,27.2,60,47.67,6.2,11.2,6.27,0.01,0.01,540,52.27
6.95,27.6,65,47.67,8.4,16,5.98,8.56,0.18,2200,72.21
6.9,27.4,70,59.33,35.6,51.2,3.2,0.01,0.02,1400,63.33
7.05,27.6,72,59.67,26.2,49.6,3.2,0.01,0.01,2400,51.47
7.1,27.3,80,60,49.5,80,2.24,0.01,0.01,35000,8.1
7.02,27.4,65,47,5.4,7.2,5.5,0.28,0.15,24000,18.45
7.15,27.5,60,29.67,8.5,9.6,6.43,0.01,0.01,4000,72.92
7.08,27,90,27.6,15.6,48,1.92,4.76,1.64,540000,13.2
7,28,100,100.67,36,65.6,2.56,0.22,0.14,540000,3.56
7.12,27.5,110,17.6,6.6,14.4,3.2,1.12,0.02,1500,43.56
7.06,27,100,30.1,5.1,9.6,5.12,0.39,0.08,2500,47.43
7.05,27,115,39.6,15.8,32,3.52,0.17,0.02,5100,53.26
7.04,27.2,126,21.5,7.1,12.8,5.28,0.01,0.1,2100,68.21
7.14,27.1,124,27.1,7.6,11.2,4,0.01,0.12,1300,63.77
7.18,27.3,127,26.8,9.9,16,6.66,0.67,0.1,1200,67.95
7.2,27.2,203,36.8,10.7,16,5.4,1.12,0.04,4500,56.18
7.22,27.1,208,11.8,8.2,17.6,4,9.52,0.88,18000,12.95
7.4,27.3,200,31.8,50.1,76,0.9,14.28,2,120000,5.74
7.2,27,80,27.9,3.7,16.8,2.88,0.01,0.01,1500,44.72
7.3,27,85,42.6,7.2,15.2,3.52,0.06,0.01,2500,71.47
7.1,27,110,57.1,5.5,16,6.08,0.68,0.08,8100,39.91
7,27.5,115,78.2,7.6,17.6,3.2,0.45,0.06,21000,10.77
7.2,27,116,43.8,15.6,24.8,2.08,0.01,0.01,1300,43.45
7,27,115,70.2,11.1,17.4,2.72,0.01,0.06,1200,47.97
7.2,27,120,79.8,9.3,25.4,2.4,0.01,0.01,4500,35.82
7.2,28,150,70.2,8.6,61.6,0.19,12.38,0.88,280000,7.64
7.2,27,200,55,11.1,70.3,0.01,5.32,0.42,220000,8.03
6.8,28.6,72,137,4.2,9,7.2,0.33,0.82,500,57.01
6.4,28,75,125,11.8,16.2,7.23,0.35,0.23,1250,76.76
6.7,28,96,160,7.3,10.2,6.7,0.42,0.85,4550,62.05
